symbol,missing_open_time
BTCUSDT,2020-06-28T03:05:00+0000
BTCUSDT,2020-06-28T03:10:00+0000
BTCUSDT,2020-06-28T03:15:00+0000
BTCUSDT,2020-06-28T03:20:00+0000
BTCUSDT,2020-06-28T03:25:00+0000
BTCUSDT,2020-06-28T03:30:00+0000
BTCUSDT,2020-06-28T03:35:00+0000
BTCUSDT,2020-06-28T03:40:00+0000
BTCUSDT,2020-06-28T03:45:00+0000
BTCUSDT,2020-06-28T03:50:00+0000
BTCUSDT,2020-06-28T03:55:00+0000
BTCUSDT,2020-06-28T04:00:00+0000
BTCUSDT,2020-06-28T04:05:00+0000
BTCUSDT,2020-06-28T04:10:00+0000
BTCUSDT,2020-06-28T04:15:00+0000
BTCUSDT,2020-06-28T04:20:00+0000
BTCUSDT,2020-06-28T04:25:00+0000
BTCUSDT,2020-06-28T04:30:00+0000
BTCUSDT,2020-06-28T04:35:00+0000
BTCUSDT,2020-06-28T04:40:00+0000
BTCUSDT,2020-06-28T04:45:00+0000
BTCUSDT,2020-06-28T04:50:00+0000
BTCUSDT,2020-06-28T04:55:00+0000
BTCUSDT,2020-06-28T05:00:00+0000
BTCUSDT,2020-06-28T05:05:00+0000
BTCUSDT,2020-06-28T05:10:00+0000
BTCUSDT,2020-06-28T05:15:00+0000
BTCUSDT,2020-06-28T05:20:00+0000
BTCUSDT,2020-06-28T05:25:00+0000
BTCUSDT,2020-11-30T06:00:00+0000
BTCUSDT,2020-11-30T06:05:00+0000
BTCUSDT,2020-11-30T06:10:00+0000
BTCUSDT,2020-11-30T06:15:00+0000
BTCUSDT,2020-11-30T06:20:00+0000
BTCUSDT,2020-11-30T06:25:00+0000
BTCUSDT,2020-11-30T06:30:00+0000
BTCUSDT,2020-11-30T06:35:00+0000
BTCUSDT,2020-11-30T06:40:00+0000
BTCUSDT,2020-11-30T06:45:00+0000
BTCUSDT,2020-11-30T06:50:00+0000
BTCUSDT,2020-11-30T06:55:00+0000
BTCUSDT,2020-12-21T14:10:00+0000
BTCUSDT,2020-12-21T14:15:00+0000
BTCUSDT,2020-12-21T14:20:00+0000
BTCUSDT,2020-12-21T14:25:00+0000
BTCUSDT,2020-12-21T14:30:00+0000
BTCUSDT,2020-12-21T14:35:00+0000
BTCUSDT,2020-12-21T14:40:00+0000
BTCUSDT,2020-12-21T14:45:00+0000
BTCUSDT,2020-12-21T14:50:00+0000
