date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent
2020-02-07,ETHUSDT,213.16,225.0,213.14,223.33,629361.15466,288,288,0.0015113768506666099,0.04646671135593317,True,0.03887643052887713,3.8876430528877135
2020-02-08,ETHUSDT,223.36,227.75,213.22,223.05,548551.87465,288,288,0.0014832223629823807,-0.0012545366581100462,True,0.038512626020337545,3.8512626020337546
2020-02-09,ETHUSDT,223.01,230.65,222.86,228.49,350336.24399,276,275,,,False,,
2020-02-10,ETHUSDT,228.53,229.4,216.37,222.89,510415.49949,288,288,0.001313207998349886,-0.024814069482351236,True,0.03623821185364816,3.623821185364816
2020-02-11,ETHUSDT,222.89,239.15,218.17,236.69,595576.90276,288,288,0.0014084295019302713,0.060072891838618435,True,0.03752904877465283,3.752904877465283
2020-02-12,ETHUSDT,236.69,275.34,236.69,265.74,1038073.74782,288,288,0.004052072484902844,0.11576711910644133,True,0.06365589120342943,6.3655891203429436
2020-02-13,ETHUSDT,265.74,277.69,256.08,268.32,1089679.1537,288,288,0.005899344087854607,0.009661910911737336,True,0.07680718773561891,7.680718773561892
2020-02-14,ETHUSDT,268.34,287.15,260.28,285.15,734944.32266,288,288,0.0017573204293622829,0.0608350595276504,True,0.041920405882604275,4.1920405882604275
2020-02-15,ETHUSDT,285.11,288.41,261.86,264.88,860813.14274,288,288,0.003976502122089056,-0.07373846436355752,True,0.06305951254243135,6.305951254243134
2020-02-16,ETHUSDT,264.91,274.0,237.41,258.85,1110118.46395,288,288,0.005728928100309246,-0.023028149891079742,True,0.0756896829185408,7.5689682918540795
2020-02-17,ETHUSDT,258.89,268.77,242.0,267.85,1110371.39094,288,288,0.005905686863187411,0.03417837897905944,True,0.07684846688898492,7.684846688898491
2020-02-18,ETHUSDT,267.9,285.88,258.0,282.61,1115523.43992,288,288,0.003397531897399212,0.053640733001573425,True,0.05828835130108941,5.828835130108941
2020-02-19,ETHUSDT,282.64,285.0,251.56,258.45,705973.72988,218,217,,,False,,
2020-02-20,ETHUSDT,258.44,264.33,245.34,256.96,972969.71691,288,288,0.004358778041885741,-0.005781820883651083,True,0.0660210424174425,6.60210424174425
2020-02-21,ETHUSDT,256.97,268.24,253.61,265.27,525827.8734,288,288,0.0017687044567092744,0.031827744458720365,True,0.04205596814614157,4.205596814614157
2020-02-22,ETHUSDT,265.32,266.81,256.0,261.57,313062.52133,288,288,0.0009776356445879192,-0.01404624110928201,True,0.031267165598882145,3.1267165598882145
2020-02-23,ETHUSDT,261.55,275.68,261.02,274.48,444740.82883,288,288,0.000929239656454018,0.04817646444236157,True,0.03048343249133893,3.048343249133893
2020-02-24,ETHUSDT,274.5,277.2,257.09,265.52,696591.72983,288,288,0.001955148793433683,-0.03318823113847439,True,0.044217064504936135,4.421706450493613
2020-02-25,ETHUSDT,265.47,266.22,244.44,246.67,774791.01027,288,288,0.002704694876214038,-0.07363875645940676,True,0.05200668107285869,5.200668107285869
2020-02-26,ETHUSDT,246.67,250.32,215.66,223.93,1395879.41507,288,288,0.004999053146448753,-0.09671790793557322,True,0.07070398253598416,7.070398253598416
2020-02-27,ETHUSDT,223.98,238.3,210.0,227.79,1273793.11658,288,288,0.005436101504361781,0.01709064887651224,True,0.07372992272043814,7.372992272043814
2020-02-28,ETHUSDT,227.73,234.67,214.01,226.76,1054994.92397,288,288,0.004658394872563541,-0.0045319624371493745,True,0.06825243492040076,6.825243492040076
2020-02-29,ETHUSDT,226.76,233.0,217.0,217.21,546866.6851,288,288,0.0021599090821466955,-0.04302756194049999,True,0.04647482202383023,4.6474822023830225
2020-03-01,ETHUSDT,217.29,227.89,212.36,217.81,715016.01941,288,288,0.002621408467378932,0.0027584956115343827,True,0.05119969206332136,5.119969206332136
2020-03-02,ETHUSDT,217.81,234.4,216.07,231.97,810051.4833,288,288,0.0017819269993995567,0.06298492983304224,True,0.04221287717509382,4.221287717509382
2020-03-03,ETHUSDT,232.1,232.46,219.57,223.91,741498.54825,288,288,0.0019041949981404925,-0.035363867556930086,True,0.04363708283261488,4.363708283261488
2020-03-04,ETHUSDT,223.84,228.85,220.23,224.26,443780.33772,263,262,,,False,,
2020-03-05,ETHUSDT,224.26,234.09,224.23,228.38,601479.87587,288,288,0.0008947005317199115,0.01820481524076816,True,0.029911545124247787,2.9911545124247785
2020-03-06,ETHUSDT,228.38,245.16,227.33,244.88,628147.3257,288,288,0.0009909807058829532,0.06975738636365512,True,0.031479846026989285,3.1479846026989287
2020-03-07,ETHUSDT,244.93,251.93,236.0,237.23,633748.89662,288,288,0.001423957314567241,-0.03173815996288352,True,0.03773535894313503,3.773535894313503
2020-03-08,ETHUSDT,237.23,237.23,195.5,199.43,1278973.5374099999,288,288,0.006459885980291398,-0.1735668371091432,True,0.08037341588044768,8.037341588044768
2020-03-09,ETHUSDT,199.43,208.62,190.0,202.81,1661331.83553,288,288,0.007972292008847812,0.016806282600912253,True,0.0892876923704931,8.928769237049309
2020-03-10,ETHUSDT,202.79,206.2,195.54,200.7,1020260.107,288,288,0.002587416021699164,-0.010458324363748519,True,0.050866649405078415,5.086664940507841
2020-03-11,ETHUSDT,200.74,203.18,181.73,194.61,1079824.90167,288,288,0.0036805066349192717,-0.030813699909217628,True,0.0606671792233599,6.06671792233599
2020-03-12,ETHUSDT,194.61,195.55,101.2,107.82,3814533.14046,288,288,0.05122699782668952,-0.5905343858695524,True,0.22633381944970027,22.633381944970026
2020-03-13,ETHUSDT,107.67,139.68,86.0,134.06,4663239.92861,288,288,0.116903319031793,0.2178242909062896,True,0.34191127362488793,34.19112736248879
2020-03-14,ETHUSDT,134.06,134.68,120.0,122.54,1237674.88642,288,288,0.006626975915265448,-0.08984995363230185,True,0.0814062400265818,8.14062400265818
2020-03-15,ETHUSDT,122.54,133.5,120.16,123.78,1312950.90137,288,288,0.006506237400002806,0.010068289013707255,True,0.08066125092014632,8.066125092014632
2020-03-16,ETHUSDT,123.82,124.33,101.1,111.02,2442064.14448,288,288,0.018762861960295887,-0.10879543104919907,True,0.13697759656343766,13.697759656343766
2020-03-17,ETHUSDT,111.02,120.8,109.38,115.67,1295108.4848,288,288,0.006405751084235737,0.041030944045293546,True,0.0800359362051556,8.003593620515561
2020-03-18,ETHUSDT,115.67,118.5,109.86,118.11,1201850.31275,288,288,0.004669767209332797,0.020875084316445244,True,0.06833569498682805,6.833569498682805
2020-03-19,ETHUSDT,118.11,143.13,115.46,136.3,1801071.18816,288,288,0.007289414015684289,0.14324194507873186,True,0.08537806519056454,8.537806519056454
2020-03-20,ETHUSDT,136.3,152.55,116.74,133.48,2504057.63799,288,288,0.019227535939157523,-0.02090668481931461,True,0.13866339076756173,13.866339076756173
2020-03-21,ETHUSDT,133.49,137.49,125.69,132.66,1231842.11121,288,288,0.007468983617461266,-0.006162189785761406,True,0.08642328168648346,8.642328168648346
2020-03-22,ETHUSDT,132.63,137.13,121.1,122.32,1055699.86532,288,288,0.004638089577296777,-0.0811489024766028,True,0.06810352103450142,6.810352103450142
2020-03-23,ETHUSDT,122.31,137.5,119.5,135.92,1436796.12449,288,288,0.005910974661418478,0.10542591574286969,True,0.07688286324935147,7.688286324935147
2020-03-24,ETHUSDT,135.89,143.36,132.2,138.42,1244377.16334,288,288,0.005081246376389239,0.018226064050041308,True,0.07128286172979617,7.128286172979617
2020-03-25,ETHUSDT,138.42,142.33,132.54,136.1,1034248.74369,288,288,0.003639064419893112,-0.01690263175629768,True,0.06032465847307477,6.032465847307477
2020-03-26,ETHUSDT,136.11,139.74,133.26,138.4,751060.63102,288,288,0.0018050127120006205,0.016758133526149903,True,0.04248544117695638,4.248544117695638
2020-03-27,ETHUSDT,138.4,141.27,129.68,131.33,706948.54559,288,288,0.002251985577356258,-0.05243480358649986,True,0.04745509011008469,4.745509011008469
2020-03-28,ETHUSDT,131.33,132.97,124.88,130.98,896032.10594,288,288,0.0030362761869275803,-0.0026685998071616017,True,0.05510241543641785,5.510241543641785
2020-03-29,ETHUSDT,130.94,131.84,123.81,124.5,543997.0,288,288,0.0011989763277634785,-0.0507389238851445,True,0.03462623756291576,3.462623756291576
2020-03-30,ETHUSDT,124.47,135.42,124.06,132.06,764831.92747,288,288,0.0018459251483380391,0.05895064886166275,True,0.0429642310339431,4.29642310339431
2020-03-31,ETHUSDT,132.09,135.0,130.38,132.72,547669.27789,288,288,0.0009298831250286008,0.004985281115764297,True,0.03049398506310057,3.049398506310057
2020-04-01,ETHUSDT,132.72,136.99,128.62,135.69,680922.24747,288,288,0.0012338675521912817,0.022131226275671087,True,0.03512645089090672,3.512645089090672
2020-04-02,ETHUSDT,135.65,149.76,135.01,141.28,1138977.66114,288,288,0.004707047763025274,0.04037086469778924,True,0.06860792784383794,6.860792784383794
