date,symbol,realized_variance,realized_volatility,target_log_variance,daily_log_variance,weekly_log_variance,monthly_log_variance
2020-10-12,ETHUSDT,0.0012230811211154,0.0349725767011168,-6.706382094864876,-7.687290360661192,-7.44680354455488,-7.134472216690984
2020-10-13,ETHUSDT,0.0008306681995725,0.0288213150215687,-7.093280121334487,-6.706382094864876,-7.308601632157583,-7.121336942859269
2020-10-14,ETHUSDT,0.0006516358840369,0.025527159733056,-7.33602461210063,-7.093280121334487,-7.21697974510779,-7.167328745085297
2020-10-15,ETHUSDT,0.0006267225272956,0.0250344268417642,-7.375006655479571,-7.33602461210063,-7.203294835831201,-7.2055936211148826
2020-10-16,ETHUSDT,0.0010945888215543,0.0330845707476205,-6.817376491663354,-7.375006655479571,-7.239596768888151,-7.254212819417519
2020-10-17,ETHUSDT,0.0002911452264955,0.017062978242252,-8.141688355159875,-6.817376491663354,-7.065613995088583,-7.275780623549995
2020-10-18,ETHUSDT,0.0002266241617175,0.0150540413749123,-8.392217587881207,-8.141688355159875,-7.352675247147585,-7.344514019569275
2020-10-19,ETHUSDT,0.0003292388220995,0.0181449392972134,-8.018727167501087,-8.392217587881207,-7.612462740456928,-7.40141174693199
2020-10-20,ETHUSDT,0.0006579818438498,0.0256511567741079,-7.326333219953083,-8.018727167501087,-7.749003251537019,-7.442558391224143
2020-10-21,ETHUSDT,0.0012555430654451,0.0354336431297305,-6.680187078525126,-7.326333219953083,-7.739268564431721,-7.458152620864873
2020-10-22,ETHUSDT,0.0014687411931824,0.0383241593930314,-6.523349576220914,-6.680187078525126,-7.711830681804076,-7.424523395870347
2020-10-23,ETHUSDT,0.0007949748978247,0.0281952992150237,-7.137200018871716,-6.523349576220914,-7.3881629260162835,-7.368743586155179
2020-10-24,ETHUSDT,0.0004436090916571,0.0210620296186553,-7.7205668075287885,-7.137200018871716,-7.137159412214386,-7.389593225482925
2020-10-25,ETHUSDT,0.0005003231341545,0.0223679041073268,-7.600256399974516,-7.7205668075287885,-7.077527340219925,-7.433991041566021
2020-10-26,ETHUSDT,0.001158184975379,0.0340321168218945,-6.760901175645778,-7.600256399974516,-7.132311976224211,-7.420321150983094
2020-10-27,ETHUSDT,0.0007201633523233,0.0268358594481968,-7.23603249346034,-6.760901175645778,-7.148454795648343,-7.362458348194955
2020-10-28,ETHUSDT,0.0014281708461989,0.0377911477227004,-6.551360782025753,-7.23603249346034,-7.290991379096228,-7.320398000379767
2020-10-29,ETHUSDT,0.0007938516530651,0.0281753731663874,-7.138613949103563,-6.551360782025753,-7.173823531727035,-7.302314016407522
2020-10-30,ETHUSDT,0.0011417870429791,0.0337903394919194,-6.775160662388589,-7.138613949103563,-7.05743296004199,-7.290551393328077
2020-10-31,ETHUSDT,0.0007659031038103,0.0276749544500147,-7.174454892556219,-6.775160662388589,-6.892413812524805,-7.255268261773765
2020-11-01,ETHUSDT,0.0005417747391744,0.0232760550603925,-7.520660253293895,-7.174454892556219,-6.975124555906893,-7.244813976958886
2020-11-02,ETHUSDT,0.001110856419406,0.0333295127388027,-6.8026240121344115,-7.520660253293895,-7.032050107873604,-7.259685034372481
2020-11-03,ETHUSDT,0.0008241089225089,0.0287072973738207,-7.101207849280001,-6.8026240121344115,-7.082302753895336,-7.219472927621263
2020-11-04,ETHUSDT,0.0015608853560818,0.039508041663462,-6.462502082758439,-7.101207849280001,-7.074821533930622,-7.23741955282195
2020-11-05,ETHUSDT,0.0021790974652053,0.0466808040334075,-6.12884449469217,-6.462502082758439,-7.012289818004594,-7.2087478237957665
2020-11-06,ETHUSDT,0.0026387247506744,0.0513685190625002,-5.937459527516628,-6.12884449469217,-6.8031677384317835,-7.1538760002772
2020-11-07,ETHUSDT,0.0030557589296995,0.0552789193969957,-5.790727295050025,-5.937459527516628,-6.48652759327633,-7.088532949006157
2020-11-08,ETHUSDT,0.0013151981081443,0.0362656601779749,-6.633767972118153,-5.790727295050025,-6.284148249859453,-7.0418670764328235
2020-11-09,ETHUSDT,0.0016204455176643,0.0402547577022185,-6.425054156642522,-6.633767972118153,-6.190660274427083,-6.973325240840018
2020-11-10,ETHUSDT,0.0010785345186928,0.03284104929342,-6.832152086441595,-6.425054156642522,-6.1831706892039,-6.88390872123826
2020-11-11,ETHUSDT,0.0013987204452153,0.03739947118898,-6.572197427987428,-6.832152086441595,-6.323832207553785,-6.829973490281011
2020-11-12,ETHUSDT,0.0012209078041943,0.0349414911558498,-6.708160595144852,-6.572197427987428,-6.450779787647944,-6.795694590646208
2020-11-13,ETHUSDT,0.0008060418232288,0.0283908757038039,-7.123374926941843,-6.708160595144852,-6.63426644766691,-6.796966114128922
2020-11-14,ETHUSDT,0.0006768154207964,0.0260156764431849,-7.298111965067174,-7.123374926941843,-6.732187838631648,-6.824239993707146
2020-11-15,ETHUSDT,0.0008073071104705,0.0284131503088019,-7.121806403884391,-7.298111965067174,-6.906799400316578,-6.831554173079668
2020-11-16,ETHUSDT,0.0007924241929151,0.0281500300695254,-7.140413712415763,-7.121806403884391,-6.964730263805137,-6.804337791095832
2020-11-17,ETHUSDT,0.000996888927842,0.0315735479134368,-6.910871200585718,-7.140413712415763,-7.078373520690805,-6.783435850752252
2020-11-18,ETHUSDT,0.0027801804258219,0.0527274162634766,-5.8852394520108104,-6.910871200585718,-7.118915641778978,-6.790252670067702
2020-11-19,ETHUSDT,0.0006934314089749,0.026333085823256,-7.273858228688612,-5.8852394520108104,-6.871288546792772,-6.728852986365452
2020-11-20,ETHUSDT,0.0016950866091983,0.0411714295258055,-6.38002144258297,-7.273858228688612,-6.86643779951706,-6.761693779395582
2020-11-21,ETHUSDT,0.0020777720930406,0.0455825854141762,-6.176459068431323,-6.38002144258297,-6.718080807256774,-6.727212301826464
2020-11-22,ETHUSDT,0.0036287809876255,0.0602393641037617,-5.618858503185354,-6.176459068431323,-6.525289878459887,-6.699998593010224
2020-11-23,ETHUSDT,0.0047671667739268,0.069044672306608,-5.346003118280831,-5.618858503185354,-6.2668873389798145,-6.6292896662206395
2020-11-24,ETHUSDT,0.0039754654890444,0.0630512925247726,-5.527613433569885,-5.346003118280831,-6.159040072233818,-6.530441614629137
2020-11-25,ETHUSDT,0.0025098097150068,0.0500980011078969,-5.987548339466488,-5.527613433569885,-5.809791113210073,-6.472486588330749
2020-11-26,ETHUSDT,0.0109270385407653,0.1045324760099238,-4.516514961286608,-5.987548339466488,-5.731296492586776,-6.421865701521043
2020-11-27,ETHUSDT,0.0029097716388668,0.0539422991618528,-5.839680675494249,-4.516514961286608,-5.399307671157834,-6.333411741454142
2020-11-28,ETHUSDT,0.00146925265742,0.0383308316818207,-6.523001403781641,-5.839680675494249,-5.4434721056196125,-6.320267931490601
2020-11-29,ETHUSDT,0.0014950915822511,0.0386664141374802,-6.505567814984909,-6.523001403781641,-5.6788717627197745,-6.346883471320829
2021-01-17,ETHUSDT,0.0049252803968428,0.070180341954445,-5.313374072609631,-5.096923680545038,-4.83194341027014,-5.053364037729759
