date,symbol,open,high,low,close,volume,number_of_bars,number_of_valid_returns,realized_variance,daily_log_return,complete,realized_volatility,realized_volatility_percent,log_realized_variance,daily_log_variance,weekly_log_variance,monthly_log_variance,target_log_variance,usable_for_model
2020-03-07,ETHUSDT,244.93,251.93,236.0,237.23,633748.89662,288,288,0.0014239573145672,-0.0317381599628835,True,0.037735358943135,3.773535894313503,-6.5543154421669145,-6.916815493164987,,,-6.5543154421669145,False
2020-03-08,ETHUSDT,237.23,237.23,195.5,199.43,1278973.53741,288,288,0.0064598859802913,-0.1735668371091432,True,0.0803734158804476,8.037341588044768,-5.042143611453097,-6.5543154421669145,,,-5.042143611453097,False
2020-03-09,ETHUSDT,199.43,208.62,190.0,202.81,1661331.83553,288,288,0.0079722920088478,0.0168062826009122,True,0.0892876923704931,8.928769237049309,-4.8317832479938705,-5.042143611453097,,,-4.8317832479938705,False
2020-03-10,ETHUSDT,202.79,206.2,195.54,200.7,1020260.107,288,288,0.0025874160216991,-0.0104583243637485,True,0.0508666494050784,5.086664940507841,-5.957095576299327,-4.8317832479938705,-6.072815858378023,,-5.957095576299327,False
2020-03-11,ETHUSDT,200.74,203.18,181.73,194.61,1079824.90167,288,288,0.0036805066349192,-0.0308136999092176,True,0.0606671792233599,6.06671792233599,-5.6047048637448995,-5.957095576299327,-5.86043067421564,,-5.6047048637448995,False
2020-03-12,ETHUSDT,194.61,195.55,101.2,107.82,3814533.14046,288,288,0.0512269978266895,-0.5905343858695524,True,0.2263338194497002,22.633381944970026,-2.9714885846086254,-5.6047048637448995,-5.598008548331622,,-2.9714885846086254,False
2020-03-13,ETHUSDT,107.67,139.68,86.0,134.06,4663239.92861,288,288,0.116903319031793,0.2178242909062896,True,0.3419112736248879,34.19112736248879,-2.1464080188473407,-2.9714885846086254,-4.881443176819964,,-2.1464080188473407,False
2020-03-14,ETHUSDT,134.06,134.68,120.0,122.54,1237674.88642,288,288,0.0066269759152654,-0.0898499536323018,True,0.0814062400265818,8.14062400265818,-5.016606700217132,-2.1464080188473407,-4.302296058298813,,-5.016606700217132,False
2020-03-15,ETHUSDT,122.54,133.5,120.16,123.78,1312950.90137,288,288,0.0065062374000028,0.0100682890137072,True,0.0806612509201463,8.066125092014632,-5.034993962201864,-5.016606700217132,-4.339260748743465,,-5.034993962201864,False
2020-03-16,ETHUSDT,123.82,124.33,101.1,111.02,2442064.14448,288,288,0.0187628619602958,-0.108795431049199,True,0.1369775965634376,13.697759656343766,-3.975875790520655,-5.034993962201864,-4.154840425923973,,-3.975875790520655,False
2020-03-17,ETHUSDT,111.02,120.8,109.38,115.67,1295108.4848,288,288,0.0064057510842357,0.0410309440452935,True,0.0800359362051556,8.003593620515561,-5.050559085210163,-3.975875790520655,-3.829074611279123,,-5.050559085210163,False
2020-03-18,ETHUSDT,115.67,118.5,109.86,118.11,1201850.31275,288,288,0.0046697672093327,0.0208750843164452,True,0.068335694986828,6.833569498682805,-5.366646056652419,-5.050559085210163,-4.244888711399431,,-5.366646056652419,False
2020-03-19,ETHUSDT,118.11,143.13,115.46,136.3,1801071.18816,288,288,0.0072894140156842,0.1432419450787318,True,0.0853780651905645,8.537806519056454,-4.921332118128695,-5.366646056652419,-4.888936318960447,,-4.921332118128695,False
2020-03-20,ETHUSDT,136.3,152.55,116.74,133.48,2504057.63799,288,288,0.0192275359391575,-0.0209066848193146,True,0.1386633907675617,13.866339076756171,-3.951411863880866,-4.921332118128695,-4.869881402542759,,-3.951411863880866,False
2020-03-21,ETHUSDT,133.49,137.49,125.69,132.66,1231842.11121,288,288,0.0074689836174612,-0.0061621897857614,True,0.0864232816864834,8.642328168648346,-4.896996351014192,-3.951411863880866,-4.653164982878559,,-4.896996351014192,False
2020-03-22,ETHUSDT,132.63,137.13,121.1,122.32,1055699.86532,288,288,0.0046380895772967,-0.0811489024766028,True,0.0681035210345014,6.810352103450142,-5.373452726558527,-4.896996351014192,-4.837389094977267,,-5.373452726558527,False
2020-03-23,ETHUSDT,122.31,137.5,119.5,135.92,1436796.12449,288,288,0.0059109746614184,0.1054259157428696,True,0.0768828632493514,7.688286324935147,-5.130944543831819,-5.373452726558527,-4.90196782324694,,-5.130944543831819,False
2020-03-24,ETHUSDT,135.89,143.36,132.2,138.42,1244377.16334,288,288,0.0050812463763892,0.0182260640500413,True,0.0712828617297961,7.128286172979617,-5.282198697802144,-5.130944543831819,-4.85482752068282,,-5.282198697802144,False
2020-03-25,ETHUSDT,138.42,142.33,132.54,136.1,1034248.74369,288,288,0.0036390644198931,-0.0169026317562976,True,0.0603246584730747,6.032465847307477,-5.616028657872613,-5.282198697802144,-4.92700083661751,,-5.616028657872613,False
2020-03-26,ETHUSDT,136.11,139.74,133.26,138.4,751060.63102,288,288,0.0018050127120006,0.0167581335261499,True,0.0424854411769563,4.248544117695638,-6.31718764456248,-5.616028657872613,-5.259924195415858,,-6.31718764456248,False
2020-03-27,ETHUSDT,138.4,141.27,129.68,131.33,706948.54559,288,288,0.0022519855773562,-0.0524348035864998,True,0.0474550901100846,4.745509011008469,-6.095942973096338,-6.31718764456248,-5.543962454125517,-5.135364115174722,-6.095942973096338,True
2020-03-28,ETHUSDT,131.33,132.97,124.88,130.98,896032.10594,288,288,0.0030362761869275,-0.0026685998071616,True,0.0551024154364178,5.510241543641785,-5.797123452925101,-6.095942973096338,-5.688460503433079,-5.0934060004467705,-5.797123452925101,True
2020-03-29,ETHUSDT,130.94,131.84,123.81,124.5,543997.0,288,288,0.0011989763277634,-0.0507389238851445,True,0.0346262375629157,3.462623756291576,-6.726287146448259,-5.797123452925101,-5.821696285251735,-5.0425109077085954,-6.726287146448259,True
2020-03-30,ETHUSDT,124.47,135.42,124.06,132.06,764831.92747,288,288,0.001845925148338,0.0589506488616627,True,0.0429642310339431,4.29642310339431,-6.2947746917528224,-6.726287146448259,-6.110513974980958,-5.050327803357747,-6.2947746917528224,True
2020-03-31,ETHUSDT,132.09,135.0,130.38,132.72,547669.27789,288,288,0.0009298831250286,0.0049852811157642,True,0.0304939850631005,3.049398506310057,-6.98045165172662,-6.2947746917528224,-6.2462631817570005,-5.107265579735007,-6.98045165172662,True
2020-04-01,ETHUSDT,132.72,136.99,128.62,135.69,680922.24747,288,288,0.0012338675521912,0.022131226275671,True,0.0351264508909067,3.512645089090672,-6.6976016913573355,-6.98045165172662,-6.378915983189827,-5.204932325359223,-6.6976016913573355,True
2020-04-02,ETHUSDT,135.65,149.76,135.01,141.28,1138977.66114,288,288,0.0047070477630252,0.0403708646977892,True,0.0686079278438379,6.860792784383794,-5.358694369381728,-6.6976016913573355,-6.499247726842027,-5.238591694225496,-5.358694369381728,True
2020-04-03,ETHUSDT,141.27,146.72,137.26,141.31,797546.11446,288,288,0.001905330583184,0.0002123217390056,True,0.0436500925907843,4.365009259078432,-6.263099750979049,-5.358694369381728,-6.4115619101333525,-5.22740939902717,-6.263099750979049,True
2020-04-04,ETHUSDT,141.3,146.28,138.88,144.1,573508.14086,288,288,0.0018923749429982,0.0195514444108216,True,0.0435014361027115,4.350143610271157,-6.269922655154063,-6.263099750979049,-6.318924431039511,-5.377028088407644,-6.269922655154063,True
2020-04-05,ETHUSDT,144.1,145.58,140.68,142.68,414987.45246,288,288,0.0008066742113133,-0.0099031425147858,True,0.0284020106913819,2.840201069138192,-7.122590674657662,-6.269922655154063,-6.3139540237197584,-5.564460571876132,-7.122590674657662,True
2020-04-06,ETHUSDT,142.69,172.0,142.6,171.32,1636338.7311,288,288,0.003737541102415,0.1829287922564777,True,0.0611354324628122,6.113543246281225,-5.58932734302413,-7.122590674657662,-6.342381828305967,-5.660187116168882,-5.58932734302413,True
2020-04-07,ETHUSDT,171.32,176.22,162.22,164.63,1717962.82538,288,288,0.0034874555781981,-0.039832621087241,True,0.0590546829489258,5.905468294892588,-5.6585828693500115,-5.58932734302413,-6.1207269586393265,-5.68538408802444,-5.6585828693500115,True
2020-04-08,ETHUSDT,164.62,174.48,163.59,173.11,1023575.92076,288,288,0.0025983725536909,0.050226698928708,True,0.0509742342138745,5.097423421387455,-5.952869970825601,-5.6585828693500115,-6.180704658632983,-5.761870773425775,-5.952869970825601,True
2020-04-09,ETHUSDT,173.15,173.38,165.19,169.52,719837.24423,288,288,0.001286650478737,-0.0209563166285949,True,0.0358699104924598,3.5869910492459853,-6.655712965545139,-5.952869970825601,-6.118658702602294,-5.802884904590113,-6.655712965545139,True
2020-04-10,ETHUSDT,169.56,170.1,152.11,157.81,1314841.362,288,288,0.0031610299276627,-0.0715791362000026,True,0.0562230373393568,5.622303733935683,-5.756857378010274,-6.655712965545139,-6.195816764680509,-5.861478854994328,-5.756857378010274,True
