date,symbol,realized_variance,realized_volatility,target_log_variance,daily_log_variance,weekly_log_variance,monthly_log_variance
2025-03-16,BTCUSDT,0.0006559780078806,0.0256120676221318,-7.329383294154402,-8.891848363446238,-7.3389890918319765,-6.9222024743359265
2025-03-17,BTCUSDT,0.0004669345627777,0.0216086686951728,-7.669321432645147,-7.329383294154402,-7.566069689625617,-6.831990907479434
2025-03-18,BTCUSDT,0.0004930810114791,0.0222054275229978,-7.614837073934191,-7.669321432645147,-7.7160414867101705,-6.756668143286358
2025-03-19,BTCUSDT,0.00056925129526,0.0238589877249663,-7.471188577643128,-7.614837073934191,-7.789569674737981,-6.76794300586895
2025-03-20,BTCUSDT,0.0006152499004416,0.0248042315027424,-7.39348203051092,-7.471188577643128,-7.7953157483646205,-6.823898308002427
2025-03-21,BTCUSDT,0.0003453251924071,0.0185829274444904,-7.971023998201543,-7.39348203051092,-7.495642481777557,-6.883442330037687
2025-03-22,BTCUSDT,5.4818661259824935e-05,0.0074039625377107,-9.811479888040415,-7.971023998201543,-7.623970622586985,-6.933104516518438
2025-03-23,BTCUSDT,0.0001545983127546,0.0124337569847027,-8.774680335488876,-9.811479888040415,-8.05240231366604,-7.125097904999782
2025-03-24,BTCUSDT,0.0004372491740563,0.0209105039168441,-7.7350073330180615,-8.774680335488876,-8.284370965976978,-7.183880976837418
2025-03-25,BTCUSDT,0.0003742810357424,0.0193463442474919,-7.890503610267455,-7.7350073330180615,-8.337134717051963,-7.261531987546865
2025-03-26,BTCUSDT,0.0003617883340162,0.0190207343185334,-7.924451229812048,-7.890503610267455,-8.43653903300327,-7.347377307106871
2025-03-27,BTCUSDT,0.0002866672735055,0.0169312513862847,-8.15718834050742,-7.924451229812048,-8.427224479325371,-7.442493030220633
2025-03-28,BTCUSDT,0.0003938119798729,0.0198446965175313,-7.839636971010944,-8.15718834050742,-8.09636616981877,-7.51667988326927
2025-03-29,BTCUSDT,0.0003346241271961,0.0182927342733698,-8.00250266443168,-7.839636971010944,-7.909357496923185,-7.5815648987914415
2025-03-30,BTCUSDT,0.000284191702491,0.0168579863118665,-8.165861538747894,-8.00250266443168,-7.962856563205909,-7.68850571007944
